episode_number,pitch_number,brand_name,idea,Mega_Big_Category_idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark,ROI,ask_bin,equity_per_shark,Valuation,Valuation_category
1,1,BluePine Industries,Frozen Momos,Food & Agriculture,TRUE,50,5,1000,75,16,469,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,25,5.333333333,468.75,0-50,5.333333333,468.75,Low Valuation
1,2,Booz scooters,Renting e-bike for mobility in private spaces,Mobility & Automotive,TRUE,40,15,267,40,50,80,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,20,25,80,0-50,25,80,Very Low Valuation
1,3,Heart up my Sleeves,Detachable Sleeves,Consumer Products & Lifestyle,TRUE,25,10,250,25,30,83,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,12.5,15,83.33333333,0-50,15,83.33333333,Very Low Valuation
2,4,Tagz Foods,Healthy Potato Chips,Food & Agriculture,TRUE,70,1,7000,70,2.75,2545,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,70,2.75,2545.454545,51-100,2.75,2545.454545,High Valuation
2,5,Head and Heart,Brain Development Course,Technology & SaaS,FALSE,50,5,1000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
2,6,Agro tourism,Tourism,Consumer Products & Lifestyle,FALSE,50,5,1000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
3,7,Qzense Labs,Food Freshness Detector,Technology & SaaS,FALSE,100,0.25,40000,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
3,8,Peeschute,Disposable Urine Bag,Health & Wellness,TRUE,75,4,1875,75,6,1250,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,75,6,1250,51-100,6,1250,Moderate Valuation
3,9,NOCD,Energy Drink,Food & Agriculture,TRUE,50,2,2500,20,15,133,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,20,15,133.3333333,0-50,15,133.3333333,Very Low Valuation
4,10,Cosiq,Intelligent Skincare,Health & Wellness,TRUE,50,7.5,667,50,25,200,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,25,12.5,200,0-50,12.5,200,Low Valuation
